Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,type (product.metafields.product.type),Biometric authentication method (product.metafields.shopify.biometric-authentication-method),Charging interface type (product.metafields.shopify.charging-interface-type),Connectivity technology (product.metafields.shopify.connectivity-technology),Display technology (product.metafields.shopify.display-technology),Headphone jack type (product.metafields.shopify.headphone-jack-type),Ingress protection (IP) rating (product.metafields.shopify.ingress-protection-ip-rating),Operating system (product.metafields.shopify.operating-system),Processor cores (product.metafields.shopify.processor-cores),Processor family (product.metafields.shopify.processor-family),Wi-Fi standard (product.metafields.shopify.wi-fi-standard),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S980dcd6a2a6f420c8f857b0e23630b4fb.webp?v=1773402499,11,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S434f9dc9faa24d7a8b6e8744e0d5e89aj.webp?v=1773402499,12,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,"Generic Mobile Phone (App Download Available, Band Detachable)","Function: App Download Available
Activity Tracked: Steps Tracker
Activity Tracked: Distance Tracker
Activity Tracked: Calorie Tracker
Activity Tracked: Activity Tracker
Application Age Group: Adult
Function: Band Detachable
Band Material: Silica Gel
Band length[mm]: 22
Battery Capacity(mAh): 220-300mah
Battery Life: 240h
Bluetooth-compatible Version: 5.3
Brand Name: Ola Esporte
Case Material: Alloy
Category: Smart Watches
Certification: CE
Function: Choice
Compatibility: All Compatible
Dial Window Material Type: Glass
Display Size: 1.83""
Function: Passometer
Function: fitness tracker
Function: sleep tracker
Function: Message Reminder
Function: Call Reminder
Function: Answer Call
Function: Dial Call
Function: Push Message
Function: 24 hour instruction
Function: Chronograph
Function: Alarm Clock
Function: Heart Rate Tracker
Function: Calendar
Function: Countdown
Function: Calculators
High-concerned chemical: None
Language: English
Language: Russian
Language: Spanish
Language: Polish
Language: Portuguese
Language: French
Language: German
Launch Date: 2025
Metrics measured: Heart Rate Monitor
Metrics measured: Blood Oxygen Monitor
Metrics measured: Sleep Monitor
Metrics measured: Blood Pressure Monitor
Model: smartwatch
Movement Type: Electronic
Function: Multiple Dials
Network Mode: None
Origin: Mainland China
RAM: <128MB
ROM: <128MB
Rear Camera: None
Resolution: 430*430
Screen Material: AMOLED
Screen Shape: SQUARE
Style: Fashion
System: Android Wear
System: Proprietary OS
System: Android OS
System: iOS
System: Wear OS
System: Color OS
System: HarmonyOS
System: FreeRTOS
System: Wacth OS
System: Zepp OS
System: DuWear
System: Tizen OS
Function: Touch Screen
Type: On Wrist
Function: Voice Assistant Built-In
Waterproof Grade: Life Waterproof",Generic,Electronics,Mobile Phone,"App Download Available, Band Detachable, Choice, 1.83"", Passometer, fitness tracker, sleep tracker, Message Reminder, Call Reminder, Answer Call, Dial Call, Push Message, 24 hour instruction, Chronograph, Alarm Clock, Heart Rate Tracker, Calendar, Countdown, Calculators, Multiple Dials, <128MB, 430*430, Touch Screen, Voice Assistant Built-In, Iphone, Mobile Phone",false,Color,Pk20Szstrap,,,,,,,,14:350853#Pk20Szstrap,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,37.98,12.66,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S8217ff29f5824dc1bb552f0441497a65f.webp?v=1773402502,1,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sbf72d2175bc347f7b8daebb12bf527381.webp?v=1773402502,kg,,12.66,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Go20Szstrap,,,,,,,,14:350850#Go20Szstrap,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,38.16,12.72,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S3c8a976bd8a6455ea4664646263a479fa.webp?v=1773402502,2,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Scc732bae50b74559a9dd638da6872bf0i.webp?v=1773402502,kg,,12.72,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Wh20Milan,,,,,,,,14:1052#Wh20Milan,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,36.81,12.27,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S0b8f3bb918aa4c36b5ee27e7ee8a89abn.webp?v=1773402502,3,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S0311536907d447128e39d9729d2c9284h.webp?v=1773402502,kg,,12.27,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Bk20Szstrap,,,,,,,,14:496#Bk20Szstrap,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,37.83,12.61,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S642e7975130a4106ae0bf36bf1d648d4W.webp?v=1773402502,4,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf5b46e1aa5a3488db910b0a9a6c0da0cb.webp?v=1773402502,kg,,12.61,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Pk20Milan,,,,,,,,14:173#Pk20Milan,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,36.84,12.28,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Se50a396d130b4df1a309687260870e5dR.webp?v=1773402502,5,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S6b262cb170424bc19955dec00042d01fa.webp?v=1773402502,kg,,12.28,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Go20Milan,,,,,,,,14:366#Go20Milan,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,37.11,12.37,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S2df1be9c80e8452183574c8bb93a13adl.webp?v=1773402502,6,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S44d24e88c98f42a0881b2d6b9cfe52bcb.webp?v=1773402502,kg,,12.37,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Silver,,,,,,,,14:691#Silver,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,20.31,6.77,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sbf72d2175bc347f7b8daebb12bf527381.webp?v=1773402502,7,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S7e599d84e9a5461faf04baeb715d6bf2F.webp?v=1773402502,kg,,6.77,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Bk20Milan,,,,,,,,14:10#Bk20Milan,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,36.87,12.29,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Scc732bae50b74559a9dd638da6872bf0i.webp?v=1773402502,8,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sff68b4f2d3ab4af1b0796b81b7df4e69Z.webp?v=1773402502,kg,,12.29,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Pink,,,,,,,,14:193#Pink,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,20.25,6.75,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S6b262cb170424bc19955dec00042d01fa.webp?v=1773402502,9,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sd0cef01895264e1886604ba2e52b330cs.webp?v=1773402502,kg,,6.75,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Gold,,,,,,,,14:175#Gold,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,20.31,6.77,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S44d24e88c98f42a0881b2d6b9cfe52bcb.webp?v=1773402502,10,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sa41eb79e185846099f48788b5fcad5abL.webp?v=1773402502,kg,,6.77,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Black,,,,,,,,14:29#Black,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,20.34,6.78,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sd0cef01895264e1886604ba2e52b330cs.webp?v=1773402502,11,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S365771de238c439fa372cd4b98a32e55S.webp?v=1773402502,kg,,6.78,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,Wh20Szstrap,,,,,,,,14:200003699#Wh20Szstrap,142.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,37.77,12.59,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sa41eb79e185846099f48788b5fcad5abL.webp?v=1773402502,12,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S6b657fb4ba8342e38b3d3b2d71df0860b.webp?v=1773402502,kg,,12.59,active
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S6b657fb4ba8342e38b3d3b2d71df0860b.webp?v=1773402502,13,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S0311536907d447128e39d9729d2c9284h.webp?v=1773402502,14,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf5b46e1aa5a3488db910b0a9a6c0da0cb.webp?v=1773402502,15,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S7e599d84e9a5461faf04baeb715d6bf2F.webp?v=1773402502,16,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sff68b4f2d3ab4af1b0796b81b7df4e69Z.webp?v=1773402502,17,,,,,,,,,,,,,,,,,,,,,,,,
1-83-waterproof-smart-watch-with-message-answer-call-sleep-monitoring-sports-pedometer-information-alerts-for-iphone-android-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S365771de238c439fa372cd4b98a32e55S.webp?v=1773402502,18,,,,,,,,,,,,,,,,,,,,,,,,
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,"Generic Smart Watch (300-450mah, 5 days)","Activity Tracked: Steps Tracker
Application Age Group: Child
Band width[mm]: 20 MM
Battery Capacity: 300-450mah
Battery Capacity(mAh): 300-450mah
Battery Life: 5 days
Bluetooth-compatible Version: None
Brand Name: Ola Esporte
CPU Manufacturer: MediaTek
Category: Smart Watches
Certification: CE
Certification: FCC
Certification: RoHS
Certification: weee
Function: Choice
Compatibility: All Compatible
Display Size: 1.83""
Function: Passometer
Function: sleep tracker
Function: Alarm Clock
Function: Noctilucent
Function: Calendar
Function: Countdown
Function: Calculators
High-concerned chemical: None
Language: English
Language: Russian
Language: Spanish
Language: Polish
Language: Portuguese
Language: Turkish
Language: Italian
Language: French
Language: German
Language: Dutch
Language: Arabic
Metrics measured: Sleep Monitor
Model: Smart Watch
Function: Multiple Dials
Network Mode: None
Origin: Mainland China
RAM: <128MB
ROM: <128MB
Rear Camera: None
Resolution: 240*284
Screen Material: TFT
Screen Shape: SQUARE
Style: Cute
System: Android Wear
System: Proprietary OS
System: Android OS
System: iOS
System: Wear OS
System: Color OS
System: HarmonyOS
System: FreeRTOS
System: Wacth OS
System: Zepp OS
System: DuWear
System: Tizen OS
Function: Touch Screen
Type: On Wrist
Waterproof Grade: Life Waterproof",Generic,Electronics,Smart Watch,"300-450mah, 5 days, Choice, All Compatible, 1.83"", Passometer, sleep tracker, Alarm Clock, Noctilucent, Calendar, Countdown, Calculators, Multiple Dials, <128MB, 240*284, Touch Screen, Smart Watch",false,Color,Black,,,,,,,,14:29#Black,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,42.30,14.10,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S35c7a8cda62943bd87b717c99b019181S.webp?v=1773402499,1,,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf650641fa30c44c58d5acd3909806ca1x.webp?v=1773402499,kg,,14.10,active
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,,,,,,,,,1Black 1Purple,,,,,,,,14:350850#1Black 1Purple,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,75.54,25.18,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S5a3bf0d00bd54b64b466acf70eb40936Z.webp?v=1773402500,2,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S31e6606840ca4761ab0dd00d29053539S.webp?v=1773402500,kg,,25.18,active
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,,,,,,,,,1Black 1Blue,,,,,,,,14:350853#1Black 1Blue,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,75.57,25.19,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sc6610e98f14b4323ba9c49a17f768652i.webp?v=1773402499,3,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Saf5327f58a4240ba82f18472f63f439fQ.webp?v=1773402499,kg,,25.19,active
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,,,,,,,,,1Black 1Pink,,,,,,,,14:496#1Black 1Pink,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,83.25,27.75,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S085f1947328e4ea4a81581cdcffebe06k.webp?v=1773402499,4,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S7243e0fef91942b2b5351e2ae2982de9C.webp?v=1773402499,kg,,27.75,active
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,,,,,,,,,2pc Purple,,,,,,,,14:1052#2pc Purple,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,83.25,27.75,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sd4f2c54820df40d3a07cf0f2a9fb3876D.webp?v=1773402500,5,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S9fa7f4fd39854142b54d8b541f7c6ec8t.webp?v=1773402499,kg,,27.75,active
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,,,,,,,,,2pc Blue,,,,,,,,14:366#2pc Blue,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,76.02,25.34,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Se847ea7ce8da4f2e9fa54e3dd0691d2eC.webp?v=1773402499,6,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Se00e7876225d41ca9ec70d474a1bc4aeS.webp?v=1773402499,kg,,25.34,active
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,,,,,,,,,2pc Pink,,,,,,,,14:173#2pc Pink,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,83.25,27.75,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S31e6606840ca4761ab0dd00d29053539S.webp?v=1773402500,7,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf0dc54f0987e4113a4621e70ddfce893v.webp?v=1773402500,kg,,27.75,active
2025-new-smart-watch-for-children-hd-touch-screen-camera-18-games-sleep-monitoring-alarm-clock-calculator-birthday-gift-boy-girl,,,,,,,,,2pc Black,,,,,,,,14:691#2pc Black,84.0,Dsers-fulfillment-service,deny,Dsers-fulfillment-service,75.57,25.19,true,false,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/Sf0dc54f0987e4113a4621e70ddfce893v.webp?v=1773402500,8,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0733/6342/3386/files/S360cf8b285474b6abc05d2ce8984f30ca.webp?v=1773402499,kg,,25.19,active
